alpha         energy       variance      time_used
  0.3      53.238445      5.4119107       7.364504
 0.35      59.182192      3.7437297       7.428696
  0.4      64.423174      1.4950652       7.323475
 0.45      69.872239     0.57174375       7.284742
  0.5             75              0       7.284211
 0.55      79.882077     0.29891238       7.442224
  0.6       84.50867      1.6657867       7.461839
 0.65      89.690184      1.8835657       7.256013
