alpha         energy       variance      time_used
  0.3      67.429447      40.901722       9.557453
 0.35      72.153614       36.74299       9.552232
  0.4      71.943419      13.820853       9.553386
 0.45      73.311037       2.132532       9.577426
  0.5             75  1.0913936e-11       9.549658
 0.55      76.964412      1.4961289       9.546278
  0.6      77.754549      12.464841       9.556566
 0.65      81.228597      10.484976        9.54582
