alpha energy variance
0.1 28.2053 73.6615
0.15 17.6342 37.4785
0.2 14.3975 12.3162
0.25 12.3494 5.6661
0.3 11.2108 3.59314
0.35 11.0125 1.87753
0.4 10.2057 0.437994
0.45 10.0315 0.0938773
0.5 10 8.10019e-13
0.55 10.0429 0.0842896
0.6 10.1411 0.357031
0.65 10.427 0.648382
0.7 10.7546 0.990293
0.75 10.3844 2.18177
0.8 10.8794 2.60654
 
Timeused: 10.1
