alpha         energy       variance
  0.1      36.523514      44.003095
 0.15      29.913988      35.592498
  0.2      21.103588      14.456543
 0.25      19.216365      10.145646
  0.3      16.563322      3.4051535
 0.35      15.742306      1.6484196
  0.4      15.370064     0.84637392
 0.45      15.097692     0.14537651
  0.5             15              0
 0.55      15.035795      0.1522136
  0.6      15.237061     0.45625882
 0.65       15.55337     0.89949265
  0.7      15.959395      1.7785168
 0.75       15.87312      3.0700034
  0.8      16.855723       3.919134
 
Timeused: 10.1
