alpha         energy       variance
  0.1      38.904141      81.159737
 0.15      27.032819      34.570765
  0.2      21.856513      16.650381
 0.25      18.753984      8.1675833
  0.3      17.049711      4.2786567
 0.35      15.997979      2.0500347
  0.4      15.400564     0.77094821
 0.45      15.090689     0.16486294
  0.5             15              0
 0.55      15.069517     0.13511181
  0.6      15.261635     0.49697972
 0.65      15.532572      1.0664243
  0.7      15.853498      1.7746152
 0.75      16.240291      2.5660276
  0.8      16.720919       3.507779
 
Timeused: 10.1
