alpha         energy       variance
  0.1      23.087125      42.730147
 0.15      16.580962      16.805013
  0.2      15.026077      18.781952
 0.25      12.424837      4.9791441
  0.3      11.553566       3.015876
 0.35       10.63783      1.0451174
  0.4       10.06521     0.43849093
 0.45      10.070953    0.093732244
  0.5             10              0
 0.55      10.051627      0.1108681
  0.6      10.211957     0.35724269
 0.65      10.316305     0.82553756
  0.7      10.519482      1.2593276
 0.75       10.96966      1.7460127
  0.8      11.184538       2.534922
 
Timeused: 10.1
