alpha         energy       variance
  0.1      3.7126384    0.076471638
 0.15      4.9927667      0.3032315
  0.2      5.7764086     0.15506432
 0.25      6.7744737    0.093049439
  0.3      7.2272736    0.034928326
 0.35      7.9870692    0.020481087
  0.4       8.729453    0.028351946
 0.45      9.3722356   0.0054767755
  0.5             10              0
 0.55      10.629342   0.0043251053
  0.6      11.014573    0.038623465
 0.65      11.713323    0.061751955
  0.7      12.345314     0.11057395
 0.75      12.790733    0.092514719
  0.8      11.826875     0.62203665
 
Timeused: 10.1
