alpha         energy       variance
  0.1      25.815129      56.508986
 0.15      18.313011      26.847292
  0.2      14.574509      11.022695
 0.25      12.341088      5.5841793
  0.3       11.42504      3.1164993
 0.35      10.703036      1.2823917
  0.4      10.247293     0.50619025
 0.45      10.047215     0.10667246
  0.5             10              0
 0.55      10.032884    0.096938611
  0.6      10.199915     0.34885691
 0.65      10.326447     0.66991346
  0.7      10.486244      1.2776003
 0.75       10.94305      1.6337289
  0.8      11.097245      2.5829291
 
Timeused: 10.1
