alpha         energy       variance
  0.1      38.861647      95.867308
 0.15      26.927447      33.381805
  0.2      21.825538      17.502007
 0.25      18.580408      7.2494601
  0.3      16.936236      4.3599837
 0.35      16.013366      2.0606273
  0.4      15.304157     0.67014728
 0.45        15.0993     0.17441283
  0.5             15              0
 0.55      15.091352     0.13545837
  0.6      15.234663     0.53730612
 0.65      15.460941      1.0444208
  0.7      15.826027      1.6877028
 0.75      16.381686      2.4802029
  0.8       16.72542      3.6828766
 
Timeused: 10.1
