alpha         energy       variance      time_used
  0.3       1.707998     0.42612566       7.316288
 0.35      1.5957633     0.20626593       7.309432
  0.4        1.54275    0.080015462       7.307644
 0.45      1.5082529    0.016897951       7.307119
  0.5            1.5  4.9293902e-14       7.340042
 0.55      1.5038197    0.014202011       7.309869
  0.6      1.5245802    0.050950622       7.307533
 0.65      1.5485364     0.10197513       7.307901
