alpha         energy       variance      time_used
  0.3      167.80551      81.330827      16.482864
 0.35      159.59458      37.905362      16.606736
  0.4      152.94302      12.156641      16.483944
 0.45      150.48402      2.7625457      16.456581
  0.5            150              0       17.51472
 0.55      150.85309      1.8037099      17.193077
  0.6       152.4291      6.8181732      16.913838
 0.65      155.20588      15.252647      16.595165
