alpha         energy       variance      time_used
  0.3       820.4575      338.22771       7.132118
 0.35      777.80704      144.02878        7.13543
  0.4      756.43463      48.867707       7.141936
 0.45      748.30878      10.458624       7.130817
  0.5            750              0       7.254817
 0.55      758.67775      6.2163019       7.586629
  0.6      772.56505      22.354422       7.656379
 0.65      790.39192      45.563654       7.176662
