alpha         energy       variance      time_used
  0.3      16.543695      3.5788088       0.167921
 0.35      16.147506       2.582177        0.16838
  0.4      15.263579     0.52009323       0.167697
 0.45      15.203178     0.20499885       0.169159
  0.5             15 -1.9326762e-12       0.168003
 0.55      15.079606      0.1039186        0.16752
  0.6      15.285821     0.47054292       0.168409
 0.65       15.45204      1.1099977       0.171528
